0,CHEMICAL CONSTITUENTS,ChEMBL_ID,SMILES,standard_value,units,bioactivity_class,MW,LogP,HBD,HBA,IC50_M,pIC50,standard_value_norm
1.0,Bruceine A,CHEMBL250451,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,0.004,ug.mL-1,Active,522.5470000000004,0.5969000000000009,3.0,11.0,7.654813825359245e-12,11.116065367421943,0.004
2.0,Bruceine B,CHEMBL140809,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(C)=O)[C@@H]24,0.893,ug.mL-1,Active,480.4660000000003,-0.4292999999999987,3.0,11.0,1.8586122639271028e-09,8.730811201513879,0.893
3.0,Bruceine C,CHEMBL455759,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)O)[C@@H]24,0.107,ug.mL-1,Active,564.5840000000004,0.2680000000000014,4.0,12.0,1.8952007141541367e-10,9.72234478863336,0.107
4.0,Bruceine D,CHEMBL477693,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@H](O)[C@]4(C)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)[C@H](O)[C@]54O,0.835,ug.mL-1,Active,410.41900000000015,-1.9531999999999983,5.0,9.0,2.034506199761706e-09,8.691540982380765,0.835
10.0,Bruceine J,CHEMBL399970,CC1=C(O)C(=O)C[C@]2(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)O)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]45,0.742,ug.mL-1,Active,508.5200000000004,0.5085000000000008,4.0,10.0,1.4591363171556662e-09,8.83590413303938,0.742
17.0,Javanicolide C,CHEMBL443898,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C[C@@H](O)[C@@H](O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,100.0,ug.mL-1,Active,524.5630000000003,-0.5261999999999984,4.0,11.0,1.9063487131193e-07,6.719797654415742,100.0
18.0,Javanicolide D,CHEMBL503843,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)[C@H](O)[C@@H](O)C=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)O)[C@@H]24,18.0,ug.mL-1,Active,566.6000000000004,-0.855099999999998,5.0,12.0,3.176844334627601e-08,7.498004065081113,18.0
21.0,Javanicoside B,CHEMBL503591,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,5.6,ug.mL-1,Active,684.6880000000001,-2.288699999999987,6.0,16.0,8.178907765288714e-09,8.087304689382439,5.6
22.0,Javanicoside C,CHEMBL446883,COC(=O)[C@@]12OC[C@@]34[C@@H](CC5=C(C)C(=O)C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)=C[C@]5(C)[C@H]3[C@@H](O)[C@@H]1O)OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,18.0,ug.mL-1,Active,680.6560000000001,-2.3043999999999922,6.0,16.0,2.644507651442138e-08,7.577655172084478,18.0
23.0,Javanicoside D,CHEMBL451166,CC/C(=C\C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)OC)OC[C@]32[C@@H]14)C(C)(C)O,89.0,ug.mL-1,Active,740.7520000000001,-2.2274999999999916,7.0,17.0,1.20148173747759e-07,6.920282826086037,89.0
24.0,Javanicoside E,CHEMBL508819,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C(C)(C)OC(C)=O)[C@@H]24,16.0,ug.mL-1,Active,770.7780000000001,-1.966899999999984,6.0,18.0,2.0758246862261242e-08,7.682809327615302,16.0
25.0,Javanicoside F,CHEMBL510116,CC/C(C)=C/C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)OC)OC[C@]32[C@@H]14,50.0,ug.mL-1,Active,696.6990000000002,-1.9784999999999926,6.0,16.0,7.176700411512e-08,7.144075182838721,50.0
33.0,Yadanzioside A,CHEMBL2367704,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,146000.0,nM,Inactive,684.6880000000002,-2.288699999999986,6.0,16.0,0.000146,3.835647144215563,146000.0
35.0,Yadanzioside C,CHEMBL499465,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)O)[C@@H]24,55000.0,nM,Inactive,726.7250000000003,-2.617599999999986,7.0,17.0,5.5e-05,4.259637310505756,55000.0
36.0,Yadanzioside E,CHEMBL2367698,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,29000.0,nM,Inactive,684.6880000000002,-2.781899999999986,7.0,16.0,2.9e-05,4.5376020021010435,29000.0
37.0,Yadanzioside F,CHEMBL509907,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(C)=O)[C@@H]24,156000.0,nM,Inactive,642.6070000000003,-3.3148999999999873,6.0,16.0,0.000156,3.8068754016455384,156000.0
38.0,Yadanzioside G,CHEMBL2368538,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)OC(C)=O)[C@@H]24,37000.0,nM,Inactive,768.7620000000002,-2.046799999999984,6.0,18.0,3.7000000000000005e-05,4.431798275933005,37000.0
39.0,Yadanzioside I,CHEMBL506706,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(C)=O)[C@@H]24,22.04,ug.mL-1,Active,642.6070000000003,-3.1707999999999883,6.0,16.0,3.4297790095657204e-08,7.464733861886694,22.04
43.0,Yadanzioside N,CHEMBL2368539,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)C)[C@@H]24,49000.0,nM,Inactive,710.7260000000001,-1.7324999999999873,6.0,16.0,4.9000000000000005e-05,4.309803919971486,49000.0
45.0,Yadanzioside P,CHEMBL2367699,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)C)[C@@H]24,18000.0,nM,Inactive,710.7260000000002,-1.5883999999999903,6.0,16.0,1.8e-05,4.7447274948966935,18000.0
46.0,Yadanziolide C,CHEMBL469501,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)[C@H](O)[C@@H]45,0.216,ug.mL-1,Active,394.42000000000013,-1.0680999999999994,4.0,8.0,5.476395720298156e-10,9.261505177606617,0.216
50.0,Brusatol,CHEMBL450464,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,29.19,nM,Active,520.5310000000004,0.5170000000000006,3.0,11.0,2.9190000000000002e-08,7.5347659050119855,29.19
51.0,Bruceantin,CHEMBL509895,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)C)[C@@H]24,514000.0,nM,Inactive,548.5850000000003,1.1531000000000002,3.0,11.0,0.000514,3.289036881004724,514000.0
52.0,Bruceantinol,CHEMBL450145,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)OC(C)=O)[C@@H]24,50.0,nM,Active,606.6210000000003,0.8388000000000013,3.0,13.0,5.0000000000000004e-08,7.301029995663981,50.0
54.0,Bruceoside A,CHEMBL504960,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,29000.0,nM,Inactive,682.6720000000003,-2.3685999999999865,6.0,16.0,2.9e-05,4.5376020021010435,29000.0
56.0,Bruceoside C,CHEMBL506633,COC(=O)[C@@]12OC[C@]34[C@H](OC(=O)C[C@@H]13)[C@H](OC(=O)C=C(C)C)[C@H]1C(C)=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,44000.0,nM,Inactive,682.6720000000004,-2.2244999999999933,6.0,16.0,4.4000000000000006e-05,4.356547323513812,44000.0
57.0,Bruceoside D,CHEMBL505146,CC(C)=CC(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@]4(C(=O)O)OC[C@]32[C@@H]14,52000.0,nM,Inactive,668.6450000000002,-2.4569999999999936,7.0,15.0,5.2000000000000004e-05,4.2839966563652006,52000.0
58.0,Bruceoside E,CHEMBL450651,CC(C)CC(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@]4(C(=O)O)OC[C@]32[C@@H]14,59000.0,nM,Inactive,670.6610000000002,-2.3770999999999933,7.0,15.0,5.9000000000000004e-05,4.229147988357856,59000.0
,Canthin-6-one,CHEMBL156897,O=c1ccc2nccc3c4ccccc4n1c23,1.11,ug.mL-1,Active,220.23100000000002,2.4387000000000008,0.0,3.0,5.0401623749608355e-09,8.297555472004166,1.11
